system,seed,sigma,rho_sw,rho_tau,monotonicity_frac,lead_time_norm,alert_time,bif_time,alert_threshold,baseline_mu,n_points
Saddle-Node,6,0.05,0.9215181472425706,0.9215181472425706,0.7659574468085106,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,7,0.05,0.9130154689326698,0.9130154689326698,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,8,0.05,0.9131557404031818,0.9131557404031818,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,9,0.05,0.9093610214024761,0.9093610214024761,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
Double-Well,0,0.05,0.35642124991104734,0.35642124991104734,0.5333333333333333,0.4475,125.0,304.0,0.20095454395857387,0.5654166666666667,80
Double-Well,1,0.05,0.9528179900182338,0.9528179900182338,0.5833333333333334,0.535,90.0,304.0,0.625776270766215,0.8129166666666666,80
Double-Well,2,0.05,0.7823856396357562,0.7823856396357562,0.55,0.3975,145.0,304.0,0.8154788903941597,0.8712500000000001,80
Double-Well,3,0.05,0.8565005619893067,0.8565005619893067,0.55,0.5725,75.0,304.0,0.7834909775128838,0.8622916666666667,80
Double-Well,4,0.05,0.8418352579207787,0.8418352579207787,0.5166666666666667,0.3725,155.0,304.0,0.6295639050211421,0.8027083333333334,80
Double-Well,5,0.05,0.4054368543941833,0.4054368543941833,0.4666666666666667,0.51,100.0,304.0,0.5477674410536881,0.7595833333333333,80
Double-Well,6,0.05,0.4003173903565278,0.4003173903565278,0.55,0.11,260.0,304.0,0.4942186077634435,0.7135416666666666,80
Double-Well,7,0.05,0.5778559867624746,0.5778559867624746,0.5333333333333333,0.535,90.0,304.0,0.794422839831882,0.8529166666666667,80
Double-Well,8,0.05,0.2798656554909637,0.2798656554909637,0.5,0.5725,75.0,304.0,0.728747303962615,0.8172916666666667,80
Double-Well,9,0.05,0.9035303529992855,0.9035303529992855,0.6166666666666667,0.4475,125.0,304.0,0.6442367328173204,0.799375,80
Ecosystem,0,0.05,0.8954988709867135,0.8769082796660639,0.8860759493670886,0.36,235.0,379.0,1.0,1.0,80
Ecosystem,1,0.05,0.8721516712663404,0.8721516712663404,0.8860759493670886,0.375,250.0,400.0,1.0,1.0,80
Ecosystem,2,0.05,0.8644696937329087,0.8644696937329087,0.810126582278481,0.4125,235.0,400.0,1.0,1.0,80
Ecosystem,3,0.05,0.8638342689772046,0.8521641672383791,0.9113924050632911,0.3375,255.0,390.0,1.0,1.0,80
Ecosystem,4,0.05,0.8776734684961728,0.8776734684961728,0.8860759493670886,0.375,250.0,400.0,1.0,1.0,80
Ecosystem,5,0.05,0.9009473091046311,0.9009473091046311,0.8227848101265823,0.4125,235.0,400.0,1.0,1.0,80
Ecosystem,6,0.05,0.8785745747749303,0.8785745747749303,0.8607594936708861,0.375,250.0,400.0,1.0,1.0,80
Ecosystem,7,0.05,0.885784638460769,0.8708913852954457,0.8481012658227848,0.3375,250.0,385.0,1.0,1.0,80
Ecosystem,8,0.05,0.8984970166854785,0.8984970166854785,0.810126582278481,0.4125,235.0,400.0,1.0,1.0,80
Ecosystem,9,0.05,0.879878407138157,0.879878407138157,0.8734177215189873,0.375,250.0,400.0,1.0,1.0,80
Saddle-Node,0,0.1,0.9062933788349631,0.9062933788349631,0.8297872340425532,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,1,0.1,0.9181757422751233,0.9181757422751233,0.7659574468085106,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,2,0.1,0.9192131699289051,0.9192131699289051,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,3,0.1,0.9197859321591981,0.9197859321591981,0.8085106382978723,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,4,0.1,0.9219158657860533,0.9219158657860533,0.7659574468085106,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,5,0.1,0.9187217029404621,0.9187217029404621,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,6,0.1,0.9196877399659168,0.9196877399659168,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,7,0.1,0.9133739101300961,0.9133739101300961,0.8297872340425532,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,8,0.1,0.9141734113627462,0.9141734113627462,0.7872340425531915,0.33,140.0,239.0,1.0,1.0,60
Saddle-Node,9,0.1,0.9094772039783546,0.9094772039783546,0.8085106382978723,0.33,140.0,239.0,1.0,1.0,60
Double-Well,0,0.1,0.3497910870710719,0.3497910870710719,0.5166666666666667,0.4475,125.0,304.0,0.19834738454212525,0.564375,80
Double-Well,1,0.1,0.9532273082247161,0.9532273082247161,0.6,0.535,90.0,304.0,0.6260684140957431,0.8110416666666667,80
Double-Well,2,0.1,0.7786211224840225,0.7786211224840225,0.5333333333333333,0.3975,145.0,304.0,0.8106639819437194,0.8685416666666667,80
Double-Well,3,0.1,0.8674919037296823,0.8674919037296823,0.55,0.5725,75.0,304.0,0.7814692415852773,0.8610416666666667,80
Double-Well,4,0.1,0.8420356791647031,0.8420356791647031,0.5,0.385,150.0,304.0,0.6340841786265646,0.8025,80
Double-Well,5,0.1,0.4115990381727456,0.4115990381727456,0.48333333333333334,0.51,100.0,304.0,0.5513378207552508,0.7581249999999999,80
Double-Well,6,0.1,0.40808771338736394,0.40808771338736394,0.5666666666666667,0.11,260.0,304.0,0.4988052133943701,0.7141666666666666,80
Double-Well,7,0.1,0.5690482982010708,0.5690482982010708,0.5833333333333334,0.535,90.0,304.0,0.7952478847482528,0.8522916666666667,80
Double-Well,8,0.1,0.28274788269368006,0.28274788269368006,0.4666666666666667,0.5725,75.0,304.0,0.7237701711689504,0.8152083333333333,80
Double-Well,9,0.1,0.9037393671706971,0.9037393671706971,0.6,0.4475,125.0,304.0,0.6419114066053649,0.796875,80
Ecosystem,0,0.1,0.9059217888681121,0.889327707016192,0.8607594936708861,0.4725,190.0,379.0,1.0,1.0,80
Ecosystem,1,0.1,0.888029148869077,0.888029148869077,0.8227848101265823,0.4,240.0,400.0,1.0,1.0,80
Ecosystem,2,0.1,0.8655641928783172,0.8655641928783172,0.7974683544303798,0.4125,235.0,400.0,1.0,1.0,80
Ecosystem,3,0.1,0.8568260404231779,0.8445226679594001,0.8860759493670886,0.325,260.0,390.0,1.0,1.0,80
Ecosystem,4,0.1,0.8887702339444963,0.8887702339444963,0.8481012658227848,0.375,250.0,400.0,1.0,1.0,80
Ecosystem,5,0.1,0.9134028453232641,0.9134028453232641,0.7721518987341772,0.4625,215.0,400.0,1.0,1.0,80
Ecosystem,6,0.1,0.8896694741007711,0.8896694741007711,0.8227848101265823,0.375,250.0,400.0,1.0,1.0,80
Ecosystem,7,0.1,0.9086121703886295,0.8968832233483703,0.8354430379746836,0.425,215.0,385.0,1.0,1.0,80
Ecosystem,8,0.1,0.9029600055502134,0.9029600055502134,0.7974683544303798,0.4125,235.0,400.0,1.0,1.0,80
Ecosystem,9,0.1,0.8949669062961578,0.8949669062961578,0.8354430379746836,0.375,250.0,400.0,1.0,1.0,80
